packet_id,doc_id,source_url,page_number,block_number,excerpt_id,citation_token,word_count,token_count,x0,y0,x1,y1,text
packet_2,DOC006,https://cdn.ca9.uscourts.gov/datastore/opinions/2005/12/05/0356719.pdf,1,1,P001.B01,DOC006.P001.B01,2,3,244.14,122.33,367.86,140.33,FOR PUBLICATION
packet_2,DOC006,https://cdn.ca9.uscourts.gov/datastore/opinions/2005/12/05/0356719.pdf,1,2,P001.B02,DOC006.P001.B02,89,203,156.0,144.24,449.99,482.87,"UNITED STATES COURT OF APPEALS
FOR THE NINTH CIRCUIT

S TEPHANIE  B ROWN ,
Plaintiff-Appellee,
v.
D ILLARD ’ S , I NC ., a corporation;
No. 03-56719
D ILLARD ’ S  S TORE  S ERVICES , I NC .,
d/b/a C ONDEV  W EST , I NC ., a
D.C. No.

corporation,
CV-03-03903-NM
Defendants-Appellants,
OPINION
and
D ILLARD ’ S  D EPARTMENT  S TORE , a
corporation,
Defendant.   Appeal from the United States District Court
for the Central District of California
Nora M. Manella, District Judge, Presiding Argued and Submitted
April 7, 2005—Pasadena, California"
packet_2,DOC006,https://cdn.ca9.uscourts.gov/datastore/opinions/2005/12/05/0356719.pdf,1,3,P001.B03,DOC006.P001.B03,23,37,176.72,493.06,435.28,574.67,"Filed December 6, 2005 Before: Thomas G. Nelson, William A. Fletcher, and
Carlos T. Bea, Circuit Judges. Opinion by Judge William A. Fletcher"
packet_2,DOC006,https://cdn.ca9.uscourts.gov/datastore/opinions/2005/12/05/0356719.pdf,1,4,P001.B04,DOC006.P001.B04,1,2,292.25,652.92,319.75,667.59,15753
packet_2,DOC006,https://cdn.ca9.uscourts.gov/datastore/opinions/2005/12/05/0356719.pdf,2,1,P002.B01,DOC006.P002.B01,8,17,260.17,124.92,456.0,180.19,"15755
B ROWN  v. D ILLARD ’ S COUNSEL"
packet_2,DOC006,https://cdn.ca9.uscourts.gov/datastore/opinions/2005/12/05/0356719.pdf,2,2,P002.B02,DOC006.P002.B02,11,18,156.0,189.66,456.0,218.87,"David Raizman, Bryan Cave LLP, Santa Monica, California,
for the appellant."
packet_2,DOC006,https://cdn.ca9.uscourts.gov/datastore/opinions/2005/12/05/0356719.pdf,3,1,P003.B01,DOC006.P003.B01,16,31,156.0,124.92,428.54,160.27,"15756
B ROWN  v. D ILLARD ’ S Lisa A. Jordan, Van Nuys, California, for the appellee."
packet_2,DOC006,https://cdn.ca9.uscourts.gov/datastore/opinions/2005/12/05/0356719.pdf,3,2,P003.B02,DOC006.P003.B02,1,3,279.67,185.57,332.33,202.19,OPINION
packet_2,DOC006,https://cdn.ca9.uscourts.gov/datastore/opinions/2005/12/05/0356719.pdf,3,3,P003.B03,DOC006.P003.B03,54,81,156.0,209.86,455.94,311.77,"W. FLETCHER, Circuit Judge: Defendants Dillard’s Department Store and Dillard’s Store
Services (collectively “Dillard’s”) require employees to agree
to arbitrate employment-related claims under what it calls
“Dillard’s Fairness in Action Program.” Plaintiff Stephanie
Brown was an employee at one of Dillard’s department stores
in California until she was fired."
packet_2,DOC006,https://cdn.ca9.uscourts.gov/datastore/opinions/2005/12/05/0356719.pdf,3,4,P003.B04,DOC006.P003.B04,93,127,156.0,320.26,455.99,446.97,"Brown filed a notice of intent to arbitrate a wrongful termi-
nation claim under the Fairness in Action Program. Dillard’s
refused to participate in the arbitration proceedings. Brown
then filed suit in Los Angeles County Superior Court. At that
point, Dillard’s decided that it wanted to arbitrate her claim.
Dillard’s removed Brown’s suit to federal court and moved to
compel arbitration. Assuming the truth of Brown’s allega-
tions, the district court denied the motion, holding that the
arbitration agreement was unconscionable and thus unen-
forceable under California law."
