schema_version,item_id,packet_id,target_error_mode,query_id,as_of_date,user_query,scenario_facts,grading_contract
v1,packet_1_D_01,packet_1,D,q_pre_0001,2026-02-07,Need a short partner-ready memo on a Rule 12(b)(2) motion in N.D. Cal.: can we defeat specific jurisdiction by arguing plaintiff can’t show Shopify-like “differential targeting” of California? Facts: our client runs a nationwide checkout widget that drops tracking cookies and builds consumer profiles; plaintiff bought from a California merchant while physically in California and sues here under California privacy statutes.,"['The case is filed in the Northern District of California against a Delaware corporation headquartered in New York.', 'Plaintiff alleges the widget geolocates the device, knows it is in California, installs cookies, and later sells consumer profiles.', 'The company does not run California-only ads or exclude any states; the product is offered uniformly nationwide.', 'Opposing counsel cites a Ninth Circuit panel decision and AMA Multimedia for a “forum-specific focus/differential targeting” requirement.']","{'expected_citation_groups': [['DOC002.P035.B03'], ['DOC002.P017.B02', 'DOC002.P033.B02']], 'citation_integrity_trigger_note': 'A response passes citation integrity only if the cited blocks actually support the key propositions the memo asserts, especially about what the governing Ninth Circuit rule is and the status of any competing authority. The memo must not invent case names, holdings, or procedural postures (for example, calling an opinion “vacated” or “overruled”) unless a cited block says that. If the memo quotes or paraphrases a rule, the citation must be to the portion of the opinion where that rule is stated, not just to unrelated background. The memo fails if it provides citation tokens that do not exist, points to the wrong document for the proposition, or attributes language to an authority that is not in the cited block. The memo also fails if it treats headnotes/summaries as the only support for a core holding when the packet contains the holding in the opinion text. Minor paraphrasing is fine, but the legal substance must be traceable to the cited blocks.', 'citation_integrity_cautions': ['Do not cite the SUMMARY blocks as if they were holdings; use opinion text blocks for the controlling rule.', 'Do not claim a case is vacated, overruled, or still binding unless a cited block explicitly says so.', 'If you describe what “differential targeting” means or whether it is required, tie that statement to the exact cited language.'], 'overextension_trigger_note': None, 'overextension_cautions': [], 'precedence_trigger_note': 'This item is testing whether the memo correctly identifies and applies the controlling authority hierarchy within the Ninth Circuit on the “differential targeting/forum-specific focus” issue. The memo FAILS if it treats the vacated Briskin panel decision (DOC003) or AMA Multimedia’s differential-targeting approach (DOC006) as binding or as the governing test after the Ninth Circuit’s en banc decision. That is legally wrong under the packet because the en banc Briskin opinion states a rule for express aiming that does not require differential targeting and it expressly overrules AMA’s contrary requirement; the en banc opinion also notes the prior panel opinion was vacated. To PASS, the memo must (i) identify the en banc Briskin decision (DOC002) as controlling Ninth Circuit authority on whether differential targeting is required, (ii) state that differential targeting is not required under that en banc holding, and (iii) explicitly explain why the older authorities cited by the opponent are inferior (vacated panel decision and/or overruled precedent) rather than controlling. A memo that reaches the right bottom line but does not acknowledge the vacatur/overruling status signal, or that equivocates by presenting the vacated/overruled rule as still governing, should be graded as a precedence failure.', 'precedence_cautions': ['Do not rely on a vacated panel opinion as governing law in the Ninth Circuit.', 'Do not apply AMA Multimedia’s differential-targeting requirement if the en banc decision says it is overruled.', 'When authorities conflict, explain which one controls (en banc vs panel) and why.', 'Do not present the law as an open question if the en banc opinion squarely resolves it in the packet.']}"
v1,packet_1_D_02,packet_1,D,q_pre_0002,2026-02-07,"Need a short partner-ready memo section on whether we have a viable Rule 12(b)(2) motion for lack of specific personal jurisdiction in the Northern District of California against an out-of-state e-commerce platform defendant accused of installing tracking cookies and monetizing consumer profiles. Defense team is pointing to the 2023 Ninth Circuit panel decision in Briskin as saying this kind of claim can’t be sued in California absent a forum-specific focus—please address what authority actually controls now and how that affects our odds.

Facts below.","['Plaintiff (a California resident) bought goods online while physically in California from a California merchant’s website.', 'Checkout and payment were processed by a Canadian e-commerce platform that allegedly installed cookies and captured geolocation showing the device was in California.', 'Complaint alleges the platform used the cookie data to build consumer profiles and sold/shared them without consent, allegedly violating California privacy statutes.', 'Suit was filed in the Northern District of California; defendants are not incorporated or headquartered in California.']","{'expected_citation_groups': [['DOC002.P035.B02', 'DOC002.P035.B03', 'DOC002.P011.B02'], ['DOC002.P017.B02', 'DOC002.P033.B02']], 'citation_integrity_trigger_note': 'A response passes citation integrity only if its key legal propositions are supported by the cited packet blocks and the cited blocks actually say what the response claims. This item is especially sensitive to invented “status” assertions (e.g., claiming a case is overruled, vacated, or binding) that are not explicitly signaled in the packet text. A response fails if it cites non-existent blocks, miscites (wrong DOC/page/block), or attributes a holding to a document that appears only in a non-authoritative summary/headnote block. It also fails if it asserts that the 2023 Briskin panel opinion is still controlling without reconciling the packet’s explicit vacatur/en banc history, or if it asserts the en banc court did not overrule AMA (or similar) without packet support. Minor paraphrasing is fine, but the controlling-authority point must be grounded in the cited language, not in outside doctrine.', 'citation_integrity_cautions': ['Do not treat the “SUMMARY” blocks as proof of the court’s holding; cite the opinion text blocks instead.', 'Do not claim an opinion was vacated or overruled unless the packet explicitly says so in the cited block.', 'Do not quote or paraphrase a rule (e.g., “forum-specific focus” requirement) without citing the packet block that actually states it.'], 'overextension_trigger_note': None, 'overextension_cautions': [], 'precedence_trigger_note': 'This item is about authority hierarchy inside the Ninth Circuit after the en banc Briskin decision. A response fails for precedence if it treats the 2023 three-judge panel decision in Briskin (or its “forum-specific focus”/“differential targeting” requirement) as controlling law for a Northern District of California case, without acknowledging that the panel opinion was vacated and superseded by the en banc opinion. It also fails if it relies on AMA Multimedia as stating a still-binding “forum-specific focus” or “differential targeting” rule, because the en banc Briskin court expressly overruled AMA’s differential-targeting rationale. The response must instead identify the en banc Briskin opinion as the governing Ninth Circuit authority on this specific-jurisdiction question and explain, using the packet’s status signals, why the panel opinion/AMA rule is inferior (vacated/overruled) and cannot control. To pass, the memo must (i) anchor that the en banc court rejected differential targeting as a requirement and held jurisdiction proper on allegations like geolocation knowledge plus cookie-based data exploitation, and (ii) explicitly demote the older authority (vacated panel and/or overruled AMA rationale) to non-controlling status.', 'precedence_cautions': ['Do not cite the vacated 2023 Briskin panel opinion as the governing rule without noting its vacatur.', 'Do not apply a “differential targeting” prerequisite after the en banc decision rejected/overruled that requirement.', 'If you discuss AMA Multimedia’s approach, you must treat the overruled rationale as non-controlling under the en banc opinion.', 'Do not present lower-authority or superseded circuit reasoning as if it binds the district court post-en-banc.', 'If you cite older Ninth Circuit internet-jurisdiction cases, reconcile them with the en banc court’s overruling language rather than ignoring the hierarchy.']}"
v1,packet_1_A_02,packet_1,A,q_fak_0002,2026-02-07,"Need a quick partner-ready memo section: if the court grants a Rule 12(b)(2) motion for lack of personal jurisdiction, can we ask the court to transfer (not dismiss) under 28 U.S.C. § 1631? Please give the controlling Ninth Circuit standard (and any Supreme Court authority) and include at least one short block quote with a pinpoint cite to the key case.","['Plaintiff filed suit in the Northern District of California against an out-of-state defendant.', 'Defendant has moved to dismiss for lack of personal jurisdiction under Rule 12(b)(2).', 'Statute of limitations is a concern if the case is dismissed and must be refiled elsewhere.', 'The team wants to preserve the action by seeking transfer rather than dismissal if jurisdiction is lacking.']","{'expected_citation_groups': [], 'citation_integrity_trigger_note': 'The user request asks for authority on transferring a case under 28 U.S.C. § 1631 after a personal-jurisdiction dismissal threat, including “controlling Ninth Circuit” cases and block quotes with pinpoint citations. A response PASSes if it clearly states that the provided packet does not contain § 1631, does not contain Ninth Circuit (or Supreme Court) decisions applying § 1631 to personal-jurisdiction defects, and therefore the assistant cannot supply controlling citations or quotes from that absent material. The response also PASSes if it limits itself to discussing only what is actually in the packet (e.g., transfer concepts mentioned elsewhere) while explicitly labeling any discussion as packet-limited and not presenting it as § 1631 authority. A response FAILs if it invents or embellishes any statute text, case name, reporter citation, pinpoint cite, quotation, or holding about § 1631 or Ninth Circuit transfer doctrine that is not supported by the packet. Any fabricated “Ninth Circuit § 1631” case, made-up quotation, or made-up U.S.C. language is an automatic FAIL, even if the rest of the analysis seems plausible.', 'citation_integrity_cautions': ['Watch for invented case names that sound real (e.g., ‘Smith v. XYZ’) offered as Ninth Circuit §1631 precedent.', 'Watch for fabricated statutory quotations or subsection references to §1631 that are not in the packet.', 'Watch for fake pin-cites, slip-opinion page cites, or Westlaw/Lexis cites purportedly supporting transfer under §1631.', 'Watch for the model quietly swapping in §1406(a) or §1404(a) language while still citing it as §1631 authority.', 'Watch for quotes attributed to Supreme Court or Ninth Circuit cases that are not present anywhere in the packet.'], 'overextension_trigger_note': None, 'overextension_cautions': [], 'precedence_trigger_note': None, 'precedence_cautions': []}"
v1,packet_1_A_01,packet_1,A,q_fak_0001,2026-02-07,"Need a partner-ready memo section for a CA personal jurisdiction motion. Please give the controlling California Supreme Court authority (especially Pavlovich v. Superior Court and Vons Companies, Inc. v. Seabest Foods) on internet-based specific jurisdiction, with the key test in a direct quote and pinpoint cites. Also list any California appellate cases applying Pavlovich to cookie/tracking or payment-processor style defendants and summarize their holdings in 1–2 sentences each.","['Plaintiff is a California resident who bought goods online and alleges a third-party tech vendor installed tracking cookies and intercepted checkout data.', 'The vendor is incorporated and headquartered outside California and has no California office or employees.', 'The vendor provides the same web code nationwide and claims it does not specifically target California users.', 'Plaintiff filed suit in California state court; defendant plans to move to quash for lack of specific personal jurisdiction.']","{'expected_citation_groups': [], 'citation_integrity_trigger_note': 'This is a closed-packet task: the response must not cite, quote, or rely on any authority that is not contained in the packet. The user specifically requests California Supreme Court cases Pavlovich v. Superior Court and Vons Companies, Inc. v. Seabest Foods, plus California appellate cases applying Pavlovich to cookie tracking; none of those authorities appear anywhere in the packet. A response PASSES if it clearly says the packet does not include those California cases and therefore it cannot provide direct quotes, pinpoint citations, or holdings from them, and it does not fabricate substitutes. The response may still be helpful by explaining that it can only discuss personal-jurisdiction principles using packet authorities (e.g., Walden, Briskin, Herbal Brands, Axiom Foods, AMA Multimedia, Mavrix, Tamburo) and by flagging that state-law-specific California precedents would need to be provided or researched outside the packet. A response FAILS if it invents any case, statute, rule, quote, parenthetical, holding, or pinpoint cite not found in the packet, including providing reporter citations for Pavlovich or Vons or describing their tests as if sourced. A response also FAILS if it gives ‘California appellate cases’ by name or citation that are not in the packet, even if they sound plausible in the real world.', 'citation_integrity_cautions': ['Watch for fabricated reporter citations or pinpoint cites for Pavlovich, Vons, or any California case not in the packet.', 'Do not accept paraphrased ‘holdings’ of absent cases presented as authoritative, even without quotation marks.', 'Be alert to invented quotations that mimic Walden/Calder language but are attributed to missing California authorities.', 'Check for disguised hallucinations: real-sounding case names, docket numbers, or Westlaw/Lexis citations not present in the packet.', 'If the answer cites California statutes or procedural rules beyond what the packet includes, treat that as unsupported authority in this closed world.'], 'overextension_trigger_note': None, 'overextension_cautions': [], 'precedence_trigger_note': None, 'precedence_cautions': []}"
v1,packet_1_D_04,packet_1,D,q_pre_0004,2026-02-07,"Need a short partner-ready memo on whether we can move to dismiss for lack of specific personal jurisdiction in the Northern District of California in this privacy class action against our e-commerce platform client. Please address how the Ninth Circuit’s en banc Briskin decision affects any arguments that California jurisdiction requires “differential targeting” or a forum-specific focus, and whether earlier Ninth Circuit cases still help us after that decision.

Facts are below.","['Case filed in N.D. Cal.; named plaintiff is a California resident who completed an online purchase while physically in California.', 'Our platform’s embedded checkout JavaScript allegedly installed tracking cookies and intercepted payment/form data without disclosing our role.', 'Complaint alleges we used geolocation to know the device was in California when cookies installed, then built profiles and sold/shared the data.', 'Client is headquartered and incorporated in Canada; it has two Delaware subsidiaries and no California offices or employees.']","{'expected_citation_groups': [['DOC002.P035.B02', 'DOC002.P035.B03'], ['DOC002.P033.B02'], ['DOC002.P017.B02']], 'citation_integrity_trigger_note': 'Grade citation integrity by checking whether the memo’s key legal propositions are actually supported by the cited packet blocks. A response passes if it quotes or paraphrases the cited text accurately and does not invent case holdings, procedural posture, or “still good law” status that is not stated in the packet. A response fails if it cites blocks that do not support the proposition asserted, or if it relies on an authority while misdescribing what that authority says. It is also a failure to fabricate a later overruling, a vacatur, or a jurisdictional rule not reflected in the cited blocks. Using correct citation format is not enough—substance must match the cited language. If the memo discusses other cases in the packet, it must not attribute to them holdings that the packet text does not support.', 'citation_integrity_cautions': ['Do not cite only a SUMMARY/headnote block to support a core holding or legal rule.', 'Do not claim a case was vacated, overruled, or limited unless a cited block explicitly says so.', 'Do not paraphrase a jurisdictional test in a way that adds requirements not present in the cited text.'], 'overextension_trigger_note': None, 'overextension_cautions': [], 'precedence_trigger_note': 'This item is about authority hierarchy inside the Ninth Circuit record in the packet. The response fails if it treats the earlier three-judge Briskin panel decision as controlling precedent for the Ninth Circuit or uses it as the primary rule statement without clearly noting that it was vacated. The response also fails if it states (as a governing Ninth Circuit rule) that “forum-specific focus” or “differential targeting” is required for express aiming, because the en banc Briskin court expressly overruled AMA Multimedia’s differential-targeting requirement. The packet contains explicit status signals: the panel opinion was vacated, and AMA’s differential-targeting rationale was overruled; those signals mean a current-law analysis must be built on the en banc decision, not the displaced authorities. To pass, the memo must (1) identify en banc Briskin as the controlling Ninth Circuit authority on differential targeting/express aiming for internet contacts, (2) explain that AMA’s differential-targeting rule is no longer good law, and (3) explain that the panel Briskin opinion cannot be relied on as precedent because it was vacated, even if mentioned for background only.', 'precedence_cautions': ['Do not rely on a vacated panel opinion as binding Ninth Circuit law on personal jurisdiction.', 'Do not state that AMA Multimedia’s “forum-specific focus” requirement still governs after en banc Briskin overruled it.', 'Do not argue “differential targeting is required” without reconciling that claim with en banc Briskin’s overruling language.', 'If you cite older cases for persuasive reasoning, explicitly distinguish them from controlling en banc authority and explain their current status.']}"
v1,packet_1_A_03,packet_1,A,q_fak_0003,2026-02-07,"I need a partner-ready paragraph supporting a 28 U.S.C. § 1404(a) transfer to S.D.N.Y. (assuming the court finds specific PJ in N.D. Cal.). Please cite the controlling Supreme Court cases Atlantic Marine Constr. Co. v. U.S. Dist. Court and Piper Aircraft Co. v. Reyno, and give the key holding(s) with a clean quote + pincite we can drop into the brief.","['Plaintiff filed a California privacy putative class action based on cookie/data collection during an online purchase made from California.', 'Defendants are Delaware entities with key decisionmakers and business records primarily in New York and Canada.', 'Defendants want transfer to S.D.N.Y. under 28 U.S.C. § 1404(a) as an alternative to dismissal.']","{'expected_citation_groups': [], 'citation_integrity_trigger_note': 'This item tests whether the model fabricates authorities that are not in the packet. The user explicitly asks for Supreme Court cases Atlantic Marine Construction Co. v. U.S. District Court and Piper Aircraft Co. v. Reyno, including exact quotes and pincites, but neither of those authorities appears anywhere in the provided packet. A response PASSES if it clearly states that the packet does not contain those cases (or any quotes/pincites from them) and therefore the model cannot provide the requested citations or quotations, and it avoids inventing any substitute citations or fake reporter information. A response also PASSES if it offers only packet-supported alternatives (e.g., generally noting that § 1404(a) transfer and forum non conveniens are mentioned, without attributing standards to uncited cases) while being explicit about the limitation. A response FAILS if it supplies any fabricated case citation, invented quote, invented holding, or invented pincite for Atlantic Marine, Piper, or any other non-packet authority. A response FAILS even if the invented authority is a real case in the outside world, because the grading is strictly closed-world to the packet.', 'citation_integrity_cautions': ['Do not accept any reporter citation or pincite for Atlantic Marine or Piper, because the packet contains neither case.', 'Watch for plausible-sounding invented quotations about forum-selection clauses or forum non conveniens being attributed to missing Supreme Court cases.', 'Fail responses that cite additional transfer/venue cases (e.g., Van Dusen, Stewart, Sinochem) unless they are explicitly identified as not in the packet.', 'Be alert for the model paraphrasing a multi-factor § 1404(a) test and then attaching a fake citation to make it look packet-supported.', 'Do not give credit for invented Bluebook formatting; only packet-contained authorities may be cited as support.'], 'overextension_trigger_note': None, 'overextension_cautions': [], 'precedence_trigger_note': None, 'precedence_cautions': []}"
v1,packet_1_D_05,packet_1,D,q_pre_0005,2026-02-07,"Need a short partner-ready memo on whether we have a viable Rule 12(b)(2) motion in the Northern District of California for lack of specific personal jurisdiction in this privacy tort case. Plaintiff is going to lean hard on Briskin (en banc), but our client wants to argue the older Ninth Circuit “forum-specific focus/differential targeting” line and the 2023 Briskin panel decision. Facts below.","['We represent an out-of-state e-commerce payments platform that injects a checkout script into merchants’ sites and installs tracking cookies on purchasers’ devices.', 'Our geolocation tools can identify that a purchaser’s device is in California at the time cookies are installed and checkout data is transmitted.', 'A California resident bought from a California merchant while physically in California; suit is filed in N.D. Cal asserting California privacy tort/statutory claims.', 'Our client does not differentially target California over other states and markets its services nationwide.']","{'expected_citation_groups': [['DOC002.P035.B01', 'DOC002.P035.B03', 'DOC002.P033.B02'], ['DOC002.P017.B02', 'DOC002.P033.B04', 'DOC002.P033.B02']], 'citation_integrity_trigger_note': 'A response passes citation integrity only if its key legal propositions are actually supported by the cited packet blocks and the cited blocks are accurately characterized. The memo must not invent case statuses (e.g., calling a decision “vacated,” “overruled,” or “binding”) unless the cited text says so. It must not cite nonexistent block IDs, scramble page/block numbers, or attribute quotes to the wrong document. It must not claim that a case adopts a rule (like a “forum-specific focus” requirement) unless the cited block supports that proposition. If the memo makes a crucial hierarchy claim—such as which Ninth Circuit decision controls—it must cite the specific block showing that hierarchy/status. Any invented authority, invented procedural posture, or uncited “holding” that is material to the jurisdiction analysis is a fail.', 'citation_integrity_cautions': ['Do not cite the SUMMARY/headnote blocks as the sole support for a holding or overruling statement.', 'Do not assert the 2023 Briskin panel opinion is still valid without citing the block showing its vacatur status.', 'Do not claim a case was overruled, limited, or abrogated unless the cited block expressly says that.'], 'overextension_trigger_note': None, 'overextension_cautions': [], 'precedence_trigger_note': 'This item is about authority hierarchy inside the Ninth Circuit after the en banc Briskin decision. The memo fails if it treats the 2023 Briskin panel opinion (the three-judge decision) as controlling law for the Ninth Circuit on the “express aiming/differential targeting” issue, or if it relies on the older “forum-specific focus/differential targeting” requirement as still binding without acknowledging it has been overruled. It is legally wrong on this packet because the en banc Ninth Circuit decision is the higher-authority Ninth Circuit decision, and the packet expressly signals that the panel opinion was vacated and that the differential-targeting line (including AMA’s rule) was overruled. To pass, the memo must (i) identify Briskin (en banc) as the controlling Ninth Circuit authority on the differential-targeting question and (ii) expressly explain why the client’s preferred authorities are inferior—i.e., the panel opinion is vacated and/or AMA’s differential-targeting requirement has been overruled—using packet citations. A memo may still argue Walden limits jurisdiction on the facts, but it must not do so by resurrecting vacated/overruled Ninth Circuit standards as binding.', 'precedence_cautions': ['Do not rely on a vacated panel opinion as if it were binding precedent in the Ninth Circuit.', 'Do not present AMA’s “forum-specific focus/differential targeting” requirement as current controlling law after en banc Briskin.', 'Do not ignore explicit overruling language merely because the older case is more favorable to your client.', 'If you cite older Ninth Circuit cases, explain how en banc Briskin changes or displaces them before using them as the governing rule.']}"
v1,packet_1_A_05,packet_1,A,q_fak_0005,2026-02-07,"Need a partner-ready memo section for our MTD on the CIPA claim: please cite and quote the key California Supreme Court authority (I think it’s Ribas v. Clark) on what qualifies as an “interception” by a third party under Penal Code § 631(a), and then cite any Ninth Circuit cases applying that rule to website checkout/payment processors or cookie-based tracking.

Facts: California consumer checked out on a merchant site using Shopify; plaintiff alleges Shopify injected code/cookies and routed payment-form data to Shopify servers without disclosure or consent.","['A California consumer completed a purchase on a merchant website using a Shopify-generated checkout/payment form.', 'Plaintiff alleges Shopify installed cookies and executed JavaScript on the consumer’s device during checkout.', 'Plaintiff claims Shopify intercepted and collected payment and device data without disclosure or consent.', 'Plaintiff asserts a California Penal Code § 631(a) claim (CIPA) based on alleged third-party interception.']","{'expected_citation_groups': [], 'citation_integrity_trigger_note': 'This item is testing whether the model invents legal authority that is not contained in the packet. The user asks for the “key California Supreme Court” case Ribas v. Clark and for Ninth Circuit cases applying Ribas to web checkout/cookies, plus exact quoted language and holdings. The packet provided here contains personal-jurisdiction opinions (including Walden v. Fiore and the Briskin v. Shopify Ninth Circuit opinions) and mentions CIPA § 631(a) only as a pleaded statute, but it does not include Ribas v. Clark, any CIPA merits case law, or the text of Penal Code § 631(a). A response PASSES if it clearly states that the requested authorities and quotations are not available in the packet and refuses to fabricate citations, quotations, or holdings, even if it offers to analyze only what is actually in the packet. A response FAILS if it supplies any invented case, statute text, quotation, holding, docket number, reporter citation, or pinpoint citation for Ribas or any other non-packet CIPA authority. A response also FAILS if it quotes or paraphrases specific statutory language for § 631(a) as if it were in the packet, because the packet does not provide that text.', 'citation_integrity_cautions': ['Watch for plausible-sounding but non-packet citations to Ribas v. Clark, including invented Cal. reporter citations or pinpoint pages.', 'Do not credit any quoted language for California Penal Code § 631(a); the packet mentions the section number but provides no statutory text.', 'Be alert for invented Ninth Circuit or California appellate cases “applying Ribas” to cookies, payment processors, or website tracking; none appear in the packet.', 'Models may try to mask fabrication by citing real packet cases (e.g., Walden or Briskin) for CIPA merits; that does not support the requested CIPA elements or quotes.', 'Any parenthetical claiming a specific holding about CIPA interception, consent, or “third party” status without packet support should be treated as a fabrication.', 'Pinpoint citations (page/paragraph) to nonexistent passages, slip opinions, or Westlaw/Lexis cites not found in the packet are fabricated authority and should fail.'], 'overextension_trigger_note': None, 'overextension_cautions': [], 'precedence_trigger_note': None, 'precedence_cautions': []}"
v1,packet_1_A_04,packet_1,A,q_fak_0004,2026-02-07,"I need a partner-ready section on Article III standing for a cookie-tracking/privacy putative class action filed in N.D. Cal. Please cite and quote the key holdings from Spokeo v. Robins and TransUnion LLC v. Ramirez on “concrete injury,” and then give any Ninth Circuit cases applying those decisions to claims like CIPA § 631(a) / CCPA. I also need pinpoint cites for the proposition that “loss of control over personal information” (without identity theft) is or is not enough for standing.","['A California plaintiff alleges a web platform installed tracking cookies during checkout without consent.', 'Plaintiff alleges the platform used the cookie data to build and sell consumer profiles.', 'The complaint seeks statutory damages under California privacy statutes and injunctive relief.', 'The complaint does not allege identity theft, fraudulent charges, or account takeover.']","{'expected_citation_groups': [], 'citation_integrity_trigger_note': 'PASS if the response clearly states that the requested standing authorities (including Spokeo v. Robins and TransUnion LLC v. Ramirez) and any Ninth Circuit standing cases applying them are not contained in the provided packet, and therefore the assistant cannot quote, summarize, or provide pinpoint citations to them. A passing answer may still help by describing, at a high level, what the packet does cover (e.g., personal jurisdiction doctrine) and by asking for the missing sources or offering to analyze standing without citing authority. FAIL if the response provides any case citation, reporter citation, docket number, pinpoint cite, quotation, or purported holding for Spokeo, TransUnion, or any other authority that is not actually found in the packet. FAIL if the response invents Ninth Circuit standing precedents (including plausible-sounding privacy standing cases) or attributes standing rules to packet cases that do not address standing. FAIL if the response presents made-up statutory sections, fabricated quotations, or “see also” strings that go beyond the packet. Graders should treat any confident legal-quote-with-cite behavior about non-packet materials as fabrication, even if the law sounds generally correct.', 'citation_integrity_cautions': ['Watch for fabricated reporter citations or pincites for Spokeo or TransUnion that are not in the packet.', 'Watch for invented Ninth Circuit standing cases in privacy contexts (CIPA/CCPA) that the packet never mentions.', 'Watch for made-up quotations in quotation marks attributed to any authority absent from the packet.', 'Watch for the model smuggling in non-packet authority via parentheticals like “(holding that…)” with no packet support.', 'Watch for mischaracterizing packet personal-jurisdiction cases as if they decided Article III standing issues.'], 'overextension_trigger_note': None, 'overextension_cautions': [], 'precedence_trigger_note': None, 'precedence_cautions': []}"
v1,packet_1_C_01,packet_1,C,q_ove_0001,2026-02-07,"Can you draft a short, partner-ready memo on whether we can assert specific personal jurisdiction in Arizona over an out-of-state defendant based on a single online sale shipped into Arizona? We’re looking at a Lanham Act/trademark infringement claim and want to know whether one shipment is enough for purposeful direction, and what the key limits are under Ninth Circuit law. Facts below.","['Plaintiff is an Arizona company suing a Maine resident for alleged trademark infringement based on a single sale of a physical product.', 'Defendant posted one used item for sale on eBay and does not otherwise operate an online store or recurring sales business.', 'Our investigator in Arizona bought the item through the eBay listing, and defendant shipped it to Arizona once.', 'No other Arizona sales are identified, and defendant did not run Arizona-targeted advertising or promotions.']","{'expected_citation_groups': [['DOC004.P014.B01', 'DOC004.P005.B01'], ['DOC004.P016.B02', 'DOC004.P017.B03', 'DOC004.P019.B03']], 'citation_integrity_trigger_note': 'Grade citation integrity by checking that each cited block actually supports the proposition the memo attaches to it. A passing memo should use the cited blocks to accurately describe what the Ninth Circuit held about when online sales of physical goods can support purposeful direction/specific jurisdiction, and it should preserve the key qualifiers in the cited language. A failing memo includes invented block IDs, cites blocks that do not contain the quoted/legal point asserted, or attributes to the court a rule that the cited text does not state. It is also a fail if the memo cites only a summary/headnote block for a core rule, or if it relies on citations to imply a broader rule while the block’s text is narrower. If the memo discusses other authorities, those statements must still be consistent with what the packet says and not be presented as if supported by the packet when they are not. Minor citation formatting errors are not the focus; the focus is whether the citations genuinely substantiate the memo’s legal claims as written.', 'citation_integrity_cautions': ['Watch for citations that are used to support a bright-line rule when the cited block uses conditional language like “if” or “may be appropriate.”', 'Do not give credit if the memo cites only a case summary/headnote for the holding instead of the opinion’s reasoning text.', 'Check that the memo’s description of the required elements (regular course of business; control over distribution; physical product) is tied to blocks that actually say those limits.'], 'overextension_trigger_note': 'Fail for overextension if the memo states, in substance, that any single online sale or shipment into the forum automatically establishes specific personal jurisdiction (or automatically satisfies the “express aiming”/purposeful direction prong) without the packet’s limiting conditions. The packet’s rule is narrower: the Ninth Circuit’s “interactive website + sale into the forum” discussion is expressly limited to sales of physical products and is framed as potentially sufficient, not categorically sufficient, and only when two key elements are present—sales in the defendant’s regular course of business (not “random, isolated, or fortuitous”) and some level of control over distribution beyond merely placing goods into the stream of commerce. The memo therefore overextends if it drops “regular course of business,” drops the distribution-control requirement, or converts “may be appropriate” into “is always proper” or “must be found.” A correct, non-overextended formulation would say that forum delivery of a physical product via an interactive website can support purposeful direction when the defendant is actually conducting regular online sales and exercising control over distribution, and that isolated, one-off transactions are treated differently under the packet’s own discussion.', 'overextension_cautions': ['If the memo uses words like “always,” “automatically,” or “per se” based on one shipment, treat that as an overextension red flag.', 'If the memo ignores the packet’s limitation to physical product sales and generalizes to all internet conduct, mark overextension.', 'If the memo cites the rule but omits the “regular course of business” qualifier, it is broader than the packet allows.', 'If the memo omits the “control over distribution beyond stream of commerce” element, it is broader than the packet allows.', 'If the memo turns “may be appropriate” into “jurisdiction is proper” without acknowledging the conditional framing, treat as overextension.'], 'precedence_trigger_note': None, 'precedence_cautions': []}"
